Θユら戳,坝珇腹,戳る(秅),Θユ丁,Θユ基,Θユ计秖(B+S),る基,环る基,秨絃栋膙基 
20190925,BRF    ,201911     ,151140,1932,2,-,-, 
20190925,BRF    ,201911     ,161056,1926,2,-,-, 
20190925,BRF    ,201911     ,182147,1927.5,2,-,-, 
20190925,BRF    ,201911     ,182401,1926.5,2,-,-, 
20190925,BRF    ,201911     ,182414,1926,2,-,-, 
20190925,BRF    ,201911     ,183132,1926,2,-,-, 
20190925,BRF    ,201911     ,183544,1925.5,2,-,-, 
20190925,BRF    ,201911     ,193718,1926,2,-,-, 
20190925,BRF    ,201911     ,195549,1919.5,2,-,-, 
20190925,BRF    ,201911     ,195907,1918,2,-,-, 
20190925,BRF    ,201911     ,200203,1917,2,-,-, 
20190925,BRF    ,201911     ,202044,1917,2,-,-, 
20190925,BRF    ,201911     ,204512,1922.5,2,-,-, 
20190925,BRF    ,201911     ,210211,1918,2,-,-, 
20190925,BRF    ,201911     ,210355,1916,2,-,-, 
20190925,BRF    ,201911     ,210615,1914,2,-,-, 
20190925,BRF    ,201911     ,210712,1913,2,-,-, 
20190925,BRF    ,201911     ,210725,1912.5,2,-,-, 
20190925,BRF    ,201911     ,210902,1910,2,-,-, 
20190925,BRF    ,201911     ,211512,1909.5,2,-,-, 
20190925,BRF    ,201911     ,212144,1913,2,-,-, 
20190925,BRF    ,201911     ,212557,1910.5,2,-,-, 
20190925,BRF    ,201911     ,212911,1907.5,2,-,-, 
20190925,BRF    ,201911     ,213139,1906,2,-,-, 
20190925,BRF    ,201911     ,213859,1905,2,-,-, 
20190925,BRF    ,201911     ,214035,1905,2,-,-, 
20190925,BRF    ,201911     ,214156,1904,2,-,-, 
20190925,BRF    ,201911     ,214735,1905,2,-,-, 
20190925,BRF    ,201911     ,220125,1901.5,2,-,-, 
20190925,BRF    ,201911     ,220138,1900,2,-,-, 
20190925,BRF    ,201911     ,220719,1904,2,-,-, 
20190925,BRF    ,201911     ,220810,1903,2,-,-, 
20190925,BRF    ,201911     ,220810,1903,2,-,-, 
20190925,BRF    ,201911     ,223048,1908.5,2,-,-, 
20190925,BRF    ,201911     ,223150,1910,2,-,-, 
20190925,BRF    ,201911     ,224006,1910,2,-,-, 
20190925,BRF    ,201911     ,224200,1912,2,-,-, 
20190925,BRF    ,201911     ,224421,1914,2,-,-, 
20190925,BRF    ,201911     ,230344,1925,2,-,-, 
20190925,BRF    ,201911     ,230346,1925.5,2,-,-, 
20190925,BRF    ,201911     ,231637,1927,4,-,-, 
20190925,BRF    ,201911     ,231927,1927.5,2,-,-, 
20190925,BRF    ,201911     ,232215,1929,2,-,-, 
20190926,BRF    ,201911     ,003105,1917,2,-,-, 
20190926,BRF    ,201911     ,005947,1924,2,-,-, 
20190926,BRF    ,201911     ,011536,1914.5,2,-,-, 
20190926,BRF    ,201911     ,023120,1936.5,2,-,-, 
20190925,BRF    ,201912     ,150459,1900,4,-,-, 
20190925,BRF    ,201912     ,150459,1900,2,-,-, 
20190925,BRF    ,201912     ,182242,1892,2,-,-, 
20190925,BRF    ,201912     ,183124,1891.5,2,-,-, 
20190925,BRF    ,201912     ,183531,1890.5,2,-,-, 
20190925,BRF    ,201912     ,194111,1889,2,-,-, 
20190925,BRF    ,201912     ,194143,1881.5,2,-,-, 
20190925,BRF    ,201912     ,194243,1881,2,-,-, 
20190925,BRF    ,201912     ,194248,1880,4,-,-, 
20190925,BRF    ,201912     ,210115,1888,2,-,-, 
20190925,BRF    ,201912     ,212900,1875,2,-,-, 
20190925,BRF    ,201912     ,213307,1875,2,-,-, 
20190925,BRF    ,201912     ,213859,1872,2,-,-, 
20190925,BRF    ,201912     ,214116,1871.5,2,-,-, 
20190925,BRF    ,201912     ,214330,1870.5,2,-,-, 
20190925,BRF    ,201912     ,220536,1871,2,-,-, 
20190925,BRF    ,201912     ,222038,1875.5,2,-,-, 
20190925,BRF    ,201912     ,223234,1873,2,-,-, 
20190925,BRF    ,201912     ,224006,1878,2,-,-, 
20190925,BRF    ,201912     ,224604,1881,2,-,-, 
20190925,BRF    ,201912     ,224728,1881,2,-,-, 
20190925,BRF    ,201912     ,224804,1881,2,-,-, 
20190926,BRF    ,201912     ,022944,1902,2,-,-, 
20190925,GDF    ,201910     ,221729,1529.9,2,-,-, 
20190925,GDF    ,201910     ,231709,1520.5,2,-,-, 
20190925,GDF    ,201910     ,235511,1516,2,-,-, 
20190926,GDF    ,201910     ,000549,1509,4,-,-, 
20190925,GDF    ,201912     ,224438,1529.6,12,-,-, 
20190925,GDF    ,201912     ,224536,1529.6,12,-,-, 
20190925,GDF    ,201912     ,225153,1529.6,2,-,-, 
20190925,MTX    ,201910     ,150000,10828,156,-,-,*
20190925,MTX    ,201910     ,150000,10828,2,-,-, 
20190925,MTX    ,201910     ,150000,10828,2,-,-, 
20190925,MTX    ,201910     ,150000,10828,4,-,-, 
20190925,MTX    ,201910     ,150000,10827,2,-,-, 
20190925,MTX    ,201910     ,150000,10828,2,-,-, 
20190925,MTX    ,201910     ,150000,10827,2,-,-, 
20190925,MTX    ,201910     ,150000,10827,4,-,-, 
20190925,MTX    ,201910     ,150000,10827,2,-,-, 
20190925,MTX    ,201910     ,150000,10827,2,-,-, 
20190925,MTX    ,201910     ,150000,10827,2,-,-, 
20190925,MTX    ,201910     ,150000,10827,2,-,-, 
20190925,MTX    ,201910     ,150000,10827,2,-,-, 
20190925,MTX    ,201910     ,150000,10827,2,-,-, 
20190925,MTX    ,201910     ,150000,10827,2,-,-, 
20190925,MTX    ,201910     ,150000,10827,2,-,-, 
20190925,MTX    ,201910     ,150000,10827,2,-,-, 
20190925,MTX    ,201910     ,150000,10827,2,-,-, 
20190925,MTX    ,201910     ,150000,10827,2,-,-, 
20190925,MTX    ,201910     ,150000,10827,2,-,-, 
20190925,MTX    ,201910     ,150000,10827,2,-,-, 
20190925,MTX    ,201910     ,150000,10827,4,-,-, 
20190925,MTX    ,201910     ,150000,10827,2,-,-, 
20190925,MTX    ,201910     ,150000,10827,2,-,-, 
20190925,MTX    ,201910     ,150000,10827,2,-,-, 
20190925,MTX    ,201910     ,150000,10828,2,-,-, 
20190925,MTX    ,201910     ,150000,10827,2,-,-, 
20190925,MTX    ,201910     ,150000,10827,2,-,-, 
20190925,MTX    ,201910     ,150000,10827,2,-,-, 
20190925,MTX    ,201910     ,150000,10827,2,-,-, 
20190925,MTX    ,201910     ,150000,10828,2,-,-, 
20190925,MTX    ,201910     ,150000,10828,4,-,-, 
20190925,MTX    ,201910     ,150000,10828,2,-,-, 
20190925,MTX    ,201910     ,150001,10827,2,-,-, 
20190925,MTX    ,201910     ,150001,10828,2,-,-, 
20190925,MTX    ,201910     ,150001,10828,2,-,-, 
20190925,MTX    ,201910     ,150001,10827,2,-,-, 
20190925,MTX    ,201910     ,150001,10827,2,-,-, 
20190925,MTX    ,201910     ,150001,10827,2,-,-, 
20190925,MTX    ,201910     ,150001,10827,2,-,-, 
20190925,MTX    ,201910     ,150001,10827,2,-,-, 
20190925,MTX    ,201910     ,150001,10827,2,-,-, 
20190925,MTX    ,201910     ,150001,10827,2,-,-, 
20190925,MTX    ,201910     ,150001,10828,2,-,-, 
20190925,MTX    ,201910     ,150001,10828,2,-,-, 
20190925,MTX    ,201910     ,150001,10828,2,-,-, 
20190925,MTX    ,201910     ,150001,10827,2,-,-, 
20190925,MTX    ,201910     ,150001,10828,2,-,-, 
20190925,MTX    ,201910     ,150001,10828,4,-,-, 
20190925,MTX    ,201910     ,150002,10828,4,-,-, 
20190925,MTX    ,201910     ,150002,10828,2,-,-, 
20190925,MTX    ,201910     ,150002,10829,2,-,-, 
20190925,MTX    ,201910     ,150002,10829,2,-,-, 
20190925,MTX    ,201910     ,150003,10829,2,-,-, 
20190925,MTX    ,201910     ,150003,10829,2,-,-, 
20190925,MTX    ,201910     ,150003,10828,2,-,-, 
20190925,MTX    ,201910     ,150003,10828,2,-,-, 
20190925,MTX    ,201910     ,150003,10829,4,-,-, 
20190925,MTX    ,201910     ,150004,10829,2,-,-, 
20190925,MTX    ,201910     ,150004,10829,6,-,-, 
20190925,MTX    ,201910     ,150004,10830,2,-,-, 
20190925,MTX    ,201910     ,150005,10830,2,-,-, 
20190925,MTX    ,201910     ,150006,10830,4,-,-, 
20190925,MTX    ,201910     ,150007,10830,2,-,-, 
20190925,MTX    ,201910     ,150007,10829,4,-,-, 
20190925,MTX    ,201910     ,150008,10829,2,-,-, 
20190925,MTX    ,201910     ,150011,10829,2,-,-, 
20190925,MTX    ,201910     ,150013,10830,12,-,-, 
20190925,MTX    ,201910     ,150013,10830,36,-,-, 
20190925,MTX    ,201910     ,150014,10830,4,-,-, 
20190925,MTX    ,201910     ,150014,10830,4,-,-, 
20190925,MTX    ,201910     ,150015,10831,2,-,-, 
20190925,MTX    ,201910     ,150016,10831,2,-,-, 
20190925,MTX    ,201910     ,150016,10830,6,-,-, 
20190925,MTX    ,201910     ,150016,10830,2,-,-, 
20190925,MTX    ,201910     ,150016,10830,4,-,-, 
20190925,MTX    ,201910     ,150016,10830,2,-,-, 
20190925,MTX    ,201910     ,150016,10830,2,-,-, 
20190925,MTX    ,201910     ,150017,10830,2,-,-, 
20190925,MTX    ,201910     ,150018,10830,2,-,-, 
20190925,MTX    ,201910     ,150019,10830,6,-,-, 
20190925,MTX    ,201910     ,150019,10830,10,-,-, 
20190925,MTX    ,201910     ,150019,10830,4,-,-, 
20190925,MTX    ,201910     ,150019,10830,2,-,-, 
20190925,MTX    ,201910     ,150019,10830,2,-,-, 
20190925,MTX    ,201910     ,150019,10830,2,-,-, 
20190925,MTX    ,201910     ,150019,10830,2,-,-, 
20190925,MTX    ,201910     ,150019,10830,2,-,-, 
20190925,MTX    ,201910     ,150019,10830,2,-,-, 
20190925,MTX    ,201910     ,150019,10830,2,-,-, 
20190925,MTX    ,201910     ,150019,10829,2,-,-, 
20190925,MTX    ,201910     ,150020,10829,2,-,-, 
20190925,MTX    ,201910     ,150020,10830,4,-,-, 
20190925,MTX    ,201910     ,150020,10829,2,-,-, 
20190925,MTX    ,201910     ,150020,10829,2,-,-, 
20190925,MTX    ,201910     ,150020,10830,6,-,-, 
20190925,MTX    ,201910     ,150021,10829,2,-,-, 
20190925,MTX    ,201910     ,150022,10829,2,-,-, 
20190925,MTX    ,201910     ,150022,10829,2,-,-, 
20190925,MTX    ,201910     ,150022,10829,2,-,-, 
20190925,MTX    ,201910     ,150022,10829,2,-,-, 
20190925,MTX    ,201910     ,150023,10830,2,-,-, 
20190925,MTX    ,201910     ,150023,10829,2,-,-, 
20190925,MTX    ,201910     ,150023,10830,8,-,-, 
20190925,MTX    ,201910     ,150023,10829,2,-,-, 
20190925,MTX    ,201910     ,150024,10830,6,-,-, 
20190925,MTX    ,201910     ,150025,10830,4,-,-, 
20190925,MTX    ,201910     ,150025,10830,2,-,-, 
20190925,MTX    ,201910     ,150026,10830,2,-,-, 
20190925,MTX    ,201910     ,150026,10830,2,-,-, 
20190925,MTX    ,201910     ,150026,10830,4,-,-, 
20190925,MTX    ,201910     ,150026,10830,2,-,-, 
20190925,MTX    ,201910     ,150027,10829,2,-,-, 
20190925,MTX    ,201910     ,150027,10829,2,-,-, 
20190925,MTX    ,201910     ,150028,10830,4,-,-, 
20190925,MTX    ,201910     ,150028,10829,2,-,-, 
20190925,MTX    ,201910     ,150028,10829,2,-,-, 
20190925,MTX    ,201910     ,150028,10829,2,-,-, 
20190925,MTX    ,201910     ,150028,10829,2,-,-, 
20190925,MTX    ,201910     ,150028,10829,2,-,-, 
